question,answer
"임대인에게 임차인 변경을 요청하는데 거부하십니다. 근무지 변경으로 기존 전세집의 임차인을 배우자로 변경하고저는 근무지에서 새로이 전세집을 구하고 임차인이 되고자 하여기존 전세집의 임대인에게 임차인 변경을 요청드렸는데,거부하십니다. 혹시 방법이 있을까요?","왜 바꾸려 하는지 모르지만,배우자라면 간접점유자로 인정되므로 전입신고를 계속 유지하는 한임차인 변경 하지 않아도 임대차보호법의 보호를 받습니다.​다음 링크를 참고하세요. 간접 점유 (계약자가 직접 거주하지 않아도...) 임차인의 대항력에 대해서는 바로 아래에서 설명 드렸습니다. 주택이나 상가나 전세권 설정을 하지 않은 임... blog.naver.com ​ 임대인의 거부에 대해 법률적인 조언을 받는 것이 좋을 듯 해요~"
전세계약 후 전입등기열람부를 확인해보니전입등기열람부에 18년도부터 모르는 사람이 전입되어있어바로 말소신청은 하였으나 불안감이 큽니다...집에 냉장고랑 에어컨이 있었는데 이분이 이물건을 점유라고 주장하여 경매로 넘어갈시 우선순위가 넘어갈수있나요?해당건물은 전세6천이고 융자 근저당없었습니다. 제가 입주하여 실거주중이고 확정일자랑 전입일자 받았고 집에 거주중입니다.냉장고랑 에어컨을 버리고 도어락도 새로 달아버리는게 좋을가요? 어차피 말소신청하였으니 괜찮을까요..말소신청 효력이 즉시 발생되는지 궁금합니다,거주불명 신고를 했다면 1개월은 소요됩니다.실제 거주를 하고 있지 않으면 점유를 하는 것으로 볼 수 없습니다.기존 세입자가 냉장고나 에어컨을 남겨둔 것으로 점유는 주장할 수 없으므로 대항력은 없습니다. 전세계약 후 전입등기열람부를 확인해보니전입등기열람부에 18년도부터 모르는 사람이 전입되어있어바로 말소신청은 하였으나 불안감이 큽니다...=> 제목을 보면 질문자는 임차인으로 보이는데... 전입신고 말소신청이 받아 들여질지 모르겠네요.집에 냉장고랑 에어컨이 있었는데이분이 이물건을 점유라고 주장하여경매로 넘어갈시 우선순위가 넘어갈수있나요?=> 부동산 경매는 부동산에 관한 것입니다. 동산 때문에 우선변제순위가 영향받지는 않습니다.해당건물은 전세6천이고 융자 근저당없었습니다.제가 입주하여 실거주중이고 확정일자랑 전입일자 받았고 집에 거주중입니다.냉장고랑 에어컨을 버리고 도어락도 새로 달아버리는게 좋을가요? 어차피 말소신청하였으니 괜찮을까요..​말소신청 효력이 즉시 발생되는지 궁금합니다​=> 온라인 질문보다는 직접 중개업소를 방문해서 상담받기를 권합니다.
전세 계약의 묵시적 갱신과 그 효력에 대해 알려주세요. 상세한 답변 부탁드립니다.,"묵시적갱신 : 6개월~2개월 전까지 임대인 임차인이 연장 또는 갱신 거절 통지를 하지 않은 경우 기존 계약과 동일한 조건으로 계약한것으로 봅니다. 이때 묵시적갱신이 된 경우에는 임차인은 계약기간을 주장 할 수 있으면 계약기간 내 계약 해지 통보 하는 경우 해지 통보 후 3개월 뒤에 정상적으로 계약해지된것으로 봅니다. 묵시적 갱신 임대차계약의 ""묵시적 갱신""이란... 계약기간 연장을 위하여 새로이 계약을 갱신하지 않더라도 ... blog.naver.com ​"
"인터넷등기소에서 등기부등본을 열람용으로 받았다가,출력용이 필요하다 해서 1,000원 내고 발급받았습니다.그런데 출력하고 보니 여전히 열람용이라고 뜨는데요…왜 이런 건가요?출력용 인쇄하려면 어떻게 해야 하나요?","출력용을 요구하는 사람이 누구인가요?​대법원 인터넷등기소에서는 비용을 차별하고 있기는 하지만금융기관이나 심지어는 등기소에서조차도열람용이나 출력용을 차별하고 구분하는 경우는 거의 없습니다.​​ [답변]​등기부등본 열람용은 화면에서만 확인 가능하며, 출력하면 여전히 열람용으로 표시됩니다.​ 발급용 등기부등본을 출력하려면 인터넷등기소에서 ""발급"" 메뉴를 선택해 1,000원을 결제 후 PDF 형식으로 저장하거나 프린터로 인쇄하면 됩니다. ​발급용은 ""발급용""이라고 표시되며, 공식적인 서류로 사용할 수 있습니다~​답변이 되셨으면 좋겠네요. 도움이 되셨다면 채택부탁드립니다 :)"
"아버님이 시골에서 작은 가게를 하고 계셨는데요. 가게 월세 계약은 2016년5월10일 하셨어요.월세는 선불로 매월10일 지급하셨는데요.11월10일이 휴일이여서 이번달은 11월5일 지급했다고 하십니다.그러나, 11월11일 갑작스럽게 폐업을 결정하여 12일 폐업신고까지 하셨는데요.미리 지급된 월세를 일할 계산하여 돌려 받을수 있는 권리가 있는건가요?아니면 갑자기 나간다고 하여 건물주 사정도 고려하여 한달치를 드리는게 맞는건가요?계약서 상에는 계약 종료일 명시도 없고, 퇴거시 원상복구 문구만 있는데요.","폐업신고와 임대차계약 해지는 별개의 사안입니다.​주택이 아닌 경우면 상가임대차보호법의 적용을 받는데,임차인은 계약이 묵시적으로 갱신(연장)되는 중이라도 1개월 전에 계약해지 통보를 하여야 합니다.​즉, 임대인으로서는 해지통보를 받았더라도 1개월치 월세를 더 받을 수 있다는 말입니다."
월세를매달50씩 냈다고 치면이걸어떻게 환급해주나요?돈은 집주인이 갖는데 나라에서 주는건가요??,"월세 환급.. 정식 명칭은 월세 세액공제입니다.​근로소득자는 세금을 내고 월급을 받습니다.낸 세금에서, 신용카드 사용하면 세금 감면 혜택을 줍니다. 그리고 현금영수증을 발급해도 세금감면 혜택을 주고, 전통시장을 이용해도..부양가족이 있어도.. 기부금을 내도.. 세금 감면 혜택을 줍니다.마찬가지로 무주택자이면서 월세를 살고 있다면 세금에서 감면을 시켜서 돈을 돌려줍니다​결론은 나라에서 임차인에게 돈을 주는 겁니다. 월세 세액공제, 월세 환급이 아무에게나 적용되는 것은 아닙니다.​국가나 지자체의 공제/환급 기준에 맞아야 합니다.​​ 임대차계약서, 등본, 월세 낸 내역을 제출하면 됩니다.전체 1년치 내역 합산해서 15~17% 환급해줍니다.월 50이면 대략 90~102만원 환급됩니다.​집주인은 이 내역에 대한 세금을 내야겠죠."
"취득시 규제지역이었던 주택을 매도하는데 제가 그 집을 매도한 이후에도 계속 거주하는 상황입니다.부동산에서는 양도일(잔금일)까지 거주한 기간을 계산하면된다하고, 다른쪽에선 양도일 이후 거주한 기간까지 합산하면 된다하는데,제가 알기론 부동산측 얘기가 맞는걸로 아는데 아닌걸까요?","소유자로서 거주한 기간을 말하는 것입니다.​​ 안녕하세요..​잔금지급일까지 거주한 기간만 해당되고,그 날 이후에 거주한 기간은 합산하지 아니합니다."
아파트아이 앱에서 월세를 신용카드 자동납부하면 실적 챙길 수 있다는데 어떤 신용카드들이 있을까요?,모든 신용카드가 다 된다고 보면 됩니다.​​
31살 남성입니다. 지방도시에 거주중이고 예적금주식에 묶인 돈이 1500정도입니다부모님 지원은 받을 수 없구요 현재 부모님 명의 아파트에 세대원으로 살고 있습니다.무주택세대원이 아니다보니 lh에서 내놓는 임대주택들에 자격이 안되는 상황입니다.모아둔 돈도 없고 9급공무원으로 시작한지 2년 조금 넘은 상황입니다.그래도 결국은 내집마련을 하고 싶은데 저의 막연한 생각은->월세or전세로 독립을 한후 -> lh임대주택 지원 자격을 갖추어(무주택세대주?세대원?) 임대주택에서 살며 돈을 모으다 -> 아파트 분양하기??.. 입니다....... ((<--독립하는게 괜히 돈만 깎아먹는 형태죠..??))질문요지는 저같은 상황에서 내집마련에 가장 좋은 방법이 무엇인지 입니다..!!!!!!조언부탁드립니다!,네 전세>매매및청약순이가장좋습니다. 질문자의 경우 신청시점에는 무주택세대주가 아니어도별도 독립해서 거주할 계획이라면 무주택 세대주의 자격으로 임대주택을 신청할 수 있습니다.​​
해 잘드는 아파트 저층 보다 고층이 더 춥나요?,고층이 더 춥습니다​도움돼셨다면 채택 부탁드립니다~ 비슷하고 왠만해선 그닥 차이 못느낍니다 요샌 아파트에 난방시설이 있어서 추우면 보일러 틀면 되니까요 *.난방라인이 2개고 하나는위에서 네려오므로 춥지 않는데*.신훈부부인경우 전기 나가면 /걸어서 오르네리므로 낙태위험이 생길수 있습니다
서울인데100/75 더라구요.예치금 1003개월 월세사기일까요...? 서울 물가가 저럴수가 앖을텐데,"보증금이 500만원도 안되는 경우는 대부분 사회초년병들이 관심 갖는 경우입니다.보증금의 정도를 어찌할 것인지는 임대인이 결정하는 것이 당연합니다.나름대로 손익과 위험성을 고려해서 결정하는 것입니다.​계약이란, 모름지기 일방의 제안과 그걸 수용하는 사람간에 이루어집니다.제안조건이 맘에 안든다고 사기 아닌지 의심할 이유가 전~혀 없습니다.​​"
"부모님이 관공서에 제출하셔야 하는 서류라고 안내받은 것이에요. 오피스텔을 하나 가지고 있고, 그걸 전세로 놓으신 상태인데요. 임대물건에 대해 확정일자 날인된 계약서 또는 확정일자 부여현황 서류가 필요하다고 합니다. 확정일자를 받는 건 임차인이 하는 것으로 알고 있어요. 즉, 임차인이 받은 확정일자를 임대인이 확인하고 싶은 상황인데.. 이런 경우에는 어디에서 어떤 서류를 떼어야 하나요? 확정일자는 부동산 소재지 주민센터에서만 확인 가능하다는 얘기도 있고 대법원 등기소에서 발급 받을 수도 있다는 얘기가 있어서 헷갈리네요.. ㅠ 전문가 분들의 답변 부탁 드립니다!","주인이라면 확정일자 부여현황을 발급받을 수 있습니다.​확정일자는 주민센터(행정부) 이외에 인터넷등기소(사업부), 일부 공증사무소에서 발급하지만그 현황을 통합관리하는 부서는 없습니다. 사실상 통합관리가 필요하지도 않구요.​그러므로 임차인이 받은 기관에서 해당 부여현황을 발급받아야 합니다.​다음 링크 참고하세요. 확정일자 제도 확정일자... 용어가 어렵나요? 별거 아닙니다. 그 의미는 확정일자 날인을 받은 그 날에 그러한 문서가 세... blog.naver.com ​"
중앙난방은 온수 온도가 정해져있어서 온도조절 스위치를 최대로 돌리거나 최소로 낮춰도 온수 온도는 똑같죠?난방말고 온수요챗gpt도 이상한 답변만하네요 애매모호,당연한거 아닌가요...온도조절이 필요하면 냉수를 섞어야죠.
집을팔고 아파트로 이사온지 12월이면 4년이 되어갑니다.예전 매매한집에 거주할때 아래층에서 물이새서 벽지에 얼룩이 졌습니다. 비용발생이 되면 연락 하라고 하고 이사를 왔는데 여태 아무런 연락도 없다가 갑자기 벽지값10만 원 발생한다고 청구하네요. 이거 줘야할까요?,"*.큰돈아니므로줄수도 있지만 +4년지나면 *.귀하의 하자로 볼려면 어려워 보이므로 안주셔도 됩니다 아니요.. 보통 특약사항에 1년 이상을 쓰지 않는데..4년이면.. 직접 이제는 구매해서 붙이라고 하면 됩니다. 비용 발생하면 연락하라고 했다면,누수에 대해서는 책임을 지겠다는 말로 보이네요.​매도인의 하자보증은 (매매시점 기준이 아니라) 매수인이 하자를 발견한 후 6개월 이내에 청구하여야 합니다.​​"
제 가게가 있는 건물 빌라가 경매에 넘어갔는데요그래서 관리비 월세도 안내고 있었습니다 지금 사정상 가게 운영도 하지 않고 있고요 경매에 넘어가는 바람에 가게를 내놓을수 없는 상황이라 내놓지도 못하고 있구요 주택관리 쪽에서 관리비는 별도의 문제라고 하시면서 관리비를 내라는데 내야하나요?? 다른곳에 물어볼라면 법무사한테 물어봐야하나요?? 어디다가 물어봐야 되는지도 알려주세요 이런쪽 아예 모르는 사람입니다ㅠ,"경매에 넘어간 건물의 관리비 문제는 법률적인 문제이므로 법무사에게 상담을 받는 것이 좋을거에요 경매에 넘어간 것이 하나의 호실인지 건물 전체인지를 먼저 구분해야 합니다.임대차계약서와 건물등기부등본을 제시해야 할 것입니다.​경매에 넘어간게 건물 전부이든 일부이든 임차인으로서는 안타까운 일이지만그렇다고 월세나 관리비가 면제되는 것은 아닙니다. 어차피 부담하여야 합니다.​참고하세요.​​ 부동산 경매 및 공매에 관한 전문적인 상담과 법원경매 매수신청대리(등록번호;서울중앙지방법원01-18-19)를 전문으로 하는 예스옥션 대표 김명석입니다. 또한 <경매초보도 특수물건 한다>라는 책의 저자입니다. 변호사 법무사, 그리고 저희같은 경매 전문가와 상의하면 됩니다.관리비는 임차인이 1차적으로 납부할 의무가 있으니 납부를 해야 합니다. 보증금 등 경매시 배당에서 배당을 받을지 여부는 사업자등록일 확정일자 그리고 등기부상 다른 채권자간의 선후 관계를 알아야 윤곽이 나옵니다. 더 궁금한 사항은네이버카페 <유쾌명쾌 부동산경매> 들어오셔서 문의해도 됩니다.또한 휴대폰에서 팟빵이라는 어플을 깔고 제가 진행하는 <부동산경매, 초보가 고수되기> 오디오 방송을 들어보시길 권합니다. 무료입니다. 아래 유투브로도 시청이 가능합니다. 초보가고수되기 – YouTube 네이버 엑스퍼트에서 추가 질문 가능합니다. 유료상담입니다. #경매 #공매 #부동산경매 경매대행 무료입니다. 권리분석 실비 유료입니다. , <카톡; needyou1124>"
안녕하세요아파트를 팔려는데 내놨는데 현 세입자가 집을 안보여줍니다계약기간은 7월달까지인데 집도 안보여주면서 계약연장을 할려고 고집을 부립니다 미쳐버리겠습니다 방법이 없을까요?,"세입자가 집을 보여줄 의무는 없습니다. ​세입자의 협조라도 받으려면, 계약해 준 중개업소를 찾아 자문 받아 보세요.​​"
"안녕하세요. 계약갱신청구권 관련하여 문의 드립니다. 1. 보증금이나 월세 인상후 재계약서 작성시 이 재계약서는 임차인과 임대인 중 누가 작성해야 하나요??(엄청 나이많은 할머님이 집주인 이셔서...)* 임대인과 임차인 합의해서 작성하는 것은 알고 있습니다.제가 문의 드리는건 말그대로 누가 작성해야 하는것인지 입니다..보통은 누가 작성을 진행하는지 문의 드립니다.(정 안되면 제가 직접 작성 하는것도 생각하고 있어서요)2. 부동산에서 재계약서를 대서해주신다면 재계약서에는 부동산 명이 기재되면 안되나요??3. 만약 보증금, 월세가 인상되어 재계약서 작성시 집주인이 재계약서는 안쓰겠다. 도장도 안찍겠다. 그냥 인상전인 이전껄로 퉁쳐라 그러면... 어떻게 하나요??바쁘시겠지만 1번답, 2번답 이렇게 답변 부탁드리겠습니다.","1. 보증금이나 월세 인상후 재계약서 작성시 이 재계약서는 임차인과 임대인 중 누가 작성해야 하나요??단순히 월세 인상 = 질문자님 입장에서는 않써도 상관 없음(계약서 보다 돈을 더 주는 상황이니까요)보증금 인상 = 질문자님 입장에서 쓰는게 좋습니다. 보증금 증액 된 만큼 나중에 반환 받아야하고 확정일자도 추가로 증액된 금액 만큼 받아야하기 때문입니다.​집주인분이 연세가 많으시다고 하는걸로 봐서 나중에 보증금 반환시 기존 금액만 받았고 추가로 받은거 모른다고 하면 복잡해집니다. 또한 건강상의 이유로 집이 자녀분들에게 상속이 된다면 자녀분들 또한 계약서 대로 하려고 하지 증액된거에 대한 증거를 요청할듯 싶습니다.​2. 부동산에서 재계약서를 대서해주신다면 재계약서에는 부동산 명이 기재되면 안되나요??대출을 받으시는게 아니면 기재 안되어도 상관없습니다.일반적으로 대서해줄테는 소정의 수고비만 받고 도장은 안찍어줍니다.​​3. 만약 보증금, 월세가 인상되어 재계약서 작성시 집주인이 재계약서는 안쓰겠다. 도장도 안찍겠다. 그냥 인상전인 이전껄로 퉁쳐라 그러면... 어떻게 하나요??직접 작성하셔도 무방하고 부동산끼고 하셔도 상관없으나 잘 설득해서 쓰시는게 좋습니다.번거로워 하시면 기존 계약서 그대로 옮겨서 작성하시되 특약에 보증금, 월세의 인상으로 인한 재계약임을 명시해 두는것도 좋을 것 같습니다. 1. 합의로 한다는 말은 작성자를 말하는게 아니라 서명하는 사람을 말합니다. 양측이 모두 서명하여야 한다는 말이지요. 누가 썼는지는 중요하지 않습니다.​2. 계약서 작성에 비용이 소요된다면 누가 부담할 것인지도 협의해야 할 것입니다. 부동산에서 대필을 해 주는 경우도 부동산의 명의를 기재할 것인지 여부에 따라 대필료가 달라질 수 있습니다.​3. 그런 경우라면 계약할 이유가 없지요.​ 엄청 나이 많은 할머니가 계약서 작성법을 알겠습니까?필요하면 본인이 작성하면 되고 재계약서에 부동산 명이 기재되어도 됩니다"
"신생아 대출 때문에 문제가 생길 것 같아 문의드립니다. 월세 후 매매 계약 체결했습니다. 매매 계약서이되, 특약에 6개월 월세하기로 한 계약입니다. 즉, 1. 계약서 작성일은 24. 12. 28. 2. 월세(특약사항) 25. 2. 7. ~ 25. 8. 6. - 보증금은 매매금액의 10%로 함3. 25. 8. 7. 잔금 치르고 매매계약저는 3번인 잔금일을 기준으로 3개월? 이내에 등기 신청하는 것으로 알고 있습니다. 이전 등기 신청 기준일은 1,2,3 중 언제일까요?",기본적으로는 거래대금을 완납하는 시점이 등기이전 시점입니다.​​
2020년2월 a아파트 매수(실거주)2024년 5월 b아파트 분양권 매수2024년 11월 a아파트 매도 가계약2024년 11월 월세 아파트 임차등록2024년 12월 월세 아파트 전입신고 하였습니다a아파트 매수후 4년 후 b아파트 분양권 매수하였습니다a아파트 가계약금 매도 상황 중중간에 월세를 구하여 전입신고를 하게되면 a아파트 매도 비과세 조건이그대로 유지 되는거 맞을까요?,*.녜/중복기간 +3년비과세 조건이 됩니다
"안녕하세요 2년전 청년전세대출로 전세를 들어갔었는데12월9일이 만기여서 10월부터 임대인(공동명의)에게 만기때 나가겠다고 통보하였습니다.그런데 공동임대인중 1명은 보증금의 반액을 주며 반액은 나머지 한명에게 받으라고 합니다.그래서 나머지 한명에게 연락을 취했는데 연락을 회피하고 있어요 이미 계약만료가 되었는데도 연락회피중입니다.[*반액은 받았습니다.. 은행에 일단 반액이라도 상환하는게 나을까요?] 오늘 임차권등기명령을 하러 법원에 갔으나 너무 비싼 수수료때문에 일단 법적자문좀 구하려고 합니다.......임차권등기명령 신청중 드는 금액을 임대인한테 청구 할 수 있나요?그리고 내일 바로 소송하려고 하는데 소송비용도 청구 가능할까요?? 대출바로 상환해야하는데.. 대출이자며,, 제 신용등급에 문제가 생길까 걱정됩니다.....법조인분들의 조언이 절실합니다. 도와주세요 ㅜㅜ","임차권등기명령에 필요한 수수료가 얼마나 들기에 비싸다는 걸까요???뭔지 몰라도 마이 이상하네요. 절차에 들어가는 비용들은 소송에서 승소 하셔야 청구가 가능합니다.​반액 상황 부분은 우선 은행에 반액 상황 및 남은 대출금에 대한 기간 연장 등이 가능한지부터 확인을 하셔야 할 거 같습니다.​임대인이 연락을 받고 있지 않다면 임차권설정부터 하시고 소송에 들어가셔야 합니다.​만기가 도래하였으니, 임차권 설정 곧바로 가능하실 거고, 임차권과 소송 모두 혼자서 진행하시기 엄청 어려우실 겁니다. ​비용써서 법무사나 변호사 써야 하는데​법무사는 서류만 꾸려주고 법원은 본인이 직접 가셔서 절차 수행하셔야 하고변호사는 전체적인 절차를 대신 수행해주나, 비용이 더 비쌉니다."
제가 3월 말쯤에 새 아파트로 이사를 가거든요! 근데 제가 5년 정도주택에 살다가 다시 아파트로 가는거라 같은 동 친구를 만들고 싶은데 엘베에 포스트잇으로 저랑 동갑이신분 친구해요! -인스타 아이디 이런식으로 붙여놔도 괜찮나요??아파트있는곳에서 먼 학교로 계속 통학할거라 아파트 근방에는 친구를 못사귈거 같아서요 ㅠ,*.그리하셔도 되긴한데 /아파트에서 친구 못구하므로*.별로 의미가 없습니다*아파트 거주학생은 1주내내 학원에가고 잠잘때외는/집에 없습니다
건물주가 저희 모르게 수도세를 저희가게에 떠넘기고 공짜로 쓰고 있는걸 6개월차에 알게 되었습니다.임대차계약서에 특약도 임대인이 해야할 의무도 임차인에게 다 떠넘기게 써놨드라고요신랑이 계약을 하고 제가 운영을 하기에 계약서 내용을 뒤늦게 보게 되었네요ㅠㅠ괘씸해서 수도세 저희한테 떠넘기고 공짜로 쓰고 있는거에 대해 뭘 해야 좋을지 어떻게 해야할지 모르겠네요계약해지까지는 불가능일까요?,"왜 계약조건이 그리 불공정한지,신랑에게라도 먼저 물어보아야지요... ​계약서 내용에 따라 다르지만,임대인과의 대화로 문제 해결을시도해보는 것이 좋습니다.​"
10년전 지인들끼리 지분쪼개어 토지 매입했어요.한5년 지나고 기획부동산이란걸 알고포기하며 살아있는데 그당시 30대 저로썬씨드를 이런곳에 날려 그 후로 삶이 꼬였어요.시간이 좀더 지났는데 이제와서 얼마라도건질 구제방안이 없을까요. 너무 괘씸해서억울한데 잊고살려고 맘먹고 잊었는데살면서 계속 생각이나요. 이성적 해결방안이있을까요,"현실적인 구제방법은 없습니다.다른 지분소유자에게 아주 아주 싸게 파는게 최선입니다. 안녕하세요?​공유지분으로 소유한 토지를 매도하려면자기 지분에 대하여 매도는 가능합니다하지만 지분토지는 아무래도 거래가가 낮은 편입니다​매도방법으로는우선적으로 공동지분 소유권자들에게 매도하는 방법다음으로는 일반 공인중개사 등을 통한 매도하는 방법그런데 어느 경우도 쉽지는 않은 방법 입니다​그외에 오직 처분을 목적으로 하는 경우에는대출을 받거나 채무로 저당을 잡히거나 가압류가 된후에이를 근거로 경매로 처분을 하는 방법이 있습니다​​행정사 공인중개사 농지오케이 윤세영연락처 : 농업직공무원 23년근무, 강사, 저자,농지위원회 위원, 농지중개컨설팅 25년 농지전문가카페 농지오케이윤세영의 부동산투자재테크 첫번째는 부동산에 아무것도 모르는 사람에게 매도하는 방법이 있을 수 있습니다.이런 사람을 찾는 방법1 스스로 인터넷에 광고내 찾는 방법2 부동산에 수수료 많이 주고 파는 방법 등이 있을 수 있습니다. ​두번째는 주거래 은행에 대출을 받아(지인에게 돈을 빌리고 담보를 설정하는 방법)이자를 내지 않으면 상대방은 경매를 신청할 겁니다.이 방법은 선생님이 신용불량자가 될 수 있습니다.​좀 더 자세한 사항을 알고 싶다면 네이버 카페 토지교육원에 문의 바랍니다.​"
집을 매도할 때 매수인을 제가 직접 구해서 매도한다면 법무사를 통해 하는게 좋을까요?아니면 공인중개사를 통해 하는게 좋을까요?매수인을 제가 직접 구해서 공인중개사를 통해 계약한다면 중개수수료는 어떻게 협의가 될까요?,"매수인과 협의하는게 우선입니다.​법무사는 계약서 작성 이외에 등기업무를 관여도 하겠지만 계약서는 단순 대필해 주면 되는 것이고,중개사는 자기 도장을 찍는 계약서라면 거래에 따른 책임이 법무사와는 성격이 다릅니다. 중개보수가 대필료보다는 비싼 것도 바로 그 이유입니다.​물론 계약 당사자를 구해 왔다는 점에서는 조금 저렴하게 중개보수를 요구하겠지만중개사의 입장에서는 매매 당사자의 분쟁 가능성을 판단하여 중개보수를 결정하려고 할 것입니다.​​"
전세사기 당해서 임차권등기 신청하려고 하는데만약 오늘이 계약종료일이면내일부터 신청 가능한가요? 종료 당일도 가능한가요?,원칙상으로는 계약기간 종료 후에 가능합니다.​​
임차인 명의 변경시 부동산 복비를 얼마나 지불해야 하나요?법정수수료를 다 내야하나요??,"​부동산 복비는법정수수료에 따라 다릅니다.​ 대필료 10만 원 정도만 내면 됩니다 질문이 너무 단순합니다.​상황에 따라 다릅니다.중개사의 명의, 명판이 필요한 경우라면 정상 복비를 받게 됩니다.​단순 대필이라면 10만원 이내라고 보면 됩니다."
사정이 생겨서 집을 매도 하려고 합니다전세 놓은집인데 전세 만기가 6월말(현재기준으로 4개월 남음) 입니다아직 암차인에게 통보를 하지 않았음1. 임차인에게 만기때 집을 비워 달라고 한다 - 매도가 되면 좋은데 안됬을시 보증금 지급여력이 없음2. 만기까지 집이 안팔릴수도 있어서 계약연장을 고려하고 전세있는 상태로 매매한다 미래를 알수 없으니 임차인에게 어떻게 통보해야 될지 고민 입니다부동산에 의뢰할때 급매라도 내 놔야 할지아니면 2가지 동시에 진행이 가능한지 궁금합니다,"임차인에게 상황 설명 후, 매매와 계약연장을 동시에 고려하세요. 임차인에게 미리 말해두기를 권합니다.임차인이 협조하지 않으면 팔기도 어렵기 때문입니다.​길게 설명하기 보다는 인근 중개업소에 자문을 구하라고 권합니다.​​"
저는 전세 세입자로 곧 만기일에 나가고당일 다른 아파트로 이사합니다.현재 집주인한테 보증금을 받아야이사가는 집 보증금을 낼 수 있는데집주인도 형편이 좋지 않은 상황이라본인이 집을 들어와야한다고 합니다.그런데 문제가 제가 퇴거를 해야본인도 대출 실행이 되고 그래야 제 보증금을줄수 있다고 하는데 문제가 없을까요?저는 안심전세대출 이용중입니다.집주인이 오전중에는 처리하고 점심 전 후로보증금을 받아야 이사를 하는데 걱정이되서요..퇴거를 하면 저는 대항력이 없어지는데부동산 사장님은 요즘 은행에서 그렇게 요구를 한다고하네요ㅜㅜ맞는 내용일까요그냥 집주인 믿고 퇴거하고 돈 들어오길 기다려야되는건지...걱정이되서 글을 남깁니다,"거짓은 아닙니다.​모든 이해당사자를 만족시키는 해법은 없어 보입니다.임차인으로서는 불안한 면이 없지 않지만, 대출은행의 입장도 생각해 봐야 합니다.질문자가 직접 주인측 거래은행을 방문해 보고 판단해도 될 것입니다.​​ 그렇게 하시면 안됩니다 ​집주인이 돈을 안 줄 경우 아주 어려위집니다​서초동에 위치한 법무법인 포럼입니다. 더 궁금한 부분이 있으면 추가 질문이나 전화, 카톡을 주시면 답변드리겠습니다. 상담 전화번호는 입니다."
집으로 사용해도되나영,"님만 괜찮으면 ㄱㄴ 사무실 건물을 구매하셔서 주거용으로 사용하는 것은 가능해용~ 사무실 건물 매매에 대한 질문에 답변드릴게요. ​사무실 건물은 일반적으로 주거용으로 사용이 불가능한 경우가 많습니다. 하지만, 건물의 용도에 따라 다를 수 있으니 확인이 필요해요.​결론적으로, 매매 후 집으로 사용하려면 해당 건물의 용도 변경이 필요할 수 있습니다. 지역 규제나 건축법을 반드시 확인하시길 권장드립니다.​추가적인 문의가 있다면 언제든지 말씀해 주세요. *.그리 많이 하는데 *.나중매도시 주택으로 인정이 되기도 합니다"
전세권설정 집주인이 해주는데 전세가가 시세매매보다 3-4천 비쌉니다그럼 전세권설정이 의미가 없는거 맞나요?,*.집주인이 미끼를 거네요 *.물면 아픈일이 생깁니다//다른데 갑니다 전세권 설정은 보증금과 전세가의 차액을 의미해요 시세와 비교하셔서 전세가가 낮더라도 전세권 설정은 보증금을 보장해줍니다
